STATISTIC Label,Month,Direction,Mode,UNIT,VALUE
Air and Sea Travel,2021 January,Arrivals,All modes of transport,Thousand,108
Air and Sea Travel,2021 February,Arrivals,All modes of transport,Thousand,54.8
Air and Sea Travel,2021 March,Arrivals,All modes of transport,Thousand,61.4
Air and Sea Travel,2021 April,Arrivals,All modes of transport,Thousand,69.4
Air and Sea Travel,2021 May,Arrivals,All modes of transport,Thousand,85.4
Air and Sea Travel,2021 June,Arrivals,All modes of transport,Thousand,160
Air and Sea Travel,2021 July,Arrivals,All modes of transport,Thousand,380.7
Air and Sea Travel,2021 August,Arrivals,All modes of transport,Thousand,821.7
Air and Sea Travel,2021 September,Arrivals,All modes of transport,Thousand,810.1
Air and Sea Travel,2021 October,Arrivals,All modes of transport,Thousand,925.5
Air and Sea Travel,2021 November,Arrivals,All modes of transport,Thousand,785.8
Air and Sea Travel,2021 December,Arrivals,All modes of transport,Thousand,692.9
,,,,,4955.7
