Statistic Label,Year,County,UNIT,VALUE
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Ireland,Euro Million,110894.16
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Carlow,Euro Million,1169.88
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Cavan,Euro Million,1338.61
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Clare,Euro Million,2386.89
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Cork,Euro Million,12864.31
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Donegal,Euro Million,2163.97
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Dublin,Euro Million,40003.54
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Galway,Euro Million,5538.46
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Kerry,Euro Million,2507.46
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Kildare,Euro Million,5842.93
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Kilkenny,Euro Million,1734.38
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Laois,Euro Million,1465.23
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Leitrim,Euro Million,536.29
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Limerick,Euro Million,4522.08
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Longford,Euro Million,719.47
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Louth,Euro Million,2763.81
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2021,Co. Mayo,Euro Million,2322.04
