County,Household Income (million EUR),Persons at Work (%),Disposable Income (pp),Total Activities,Total Accommodation,Total Attractions
Carlow,2032.3,0.88,24606.46,76,21,4
Cavan,2333.79,1.53,21096.88,55,41,3
Clare,3892.75,1.12,21834.88,324,156,5
Cork,20711.12,12.83,24599.56,653,252,26
Donegal,4242.44,2.91,19252.82,391,176,7
Dublin,61920.18,30.42,27958.06,1140,234,1
Galway,9216.74,7.18,23495.35,504,243,14
Kerry,4669.78,1.38,21937.4,535,308,33
Kildare,8743.87,5.33,24298.59,133,50,4
Kilkenny,2926.9,1.39,19695.82,181,49,5
Laois,2479.65,1.38,19659.47,57,20,4
Leitrim,980.93,0.55,21168.81,53,37,3
Limerick,7357.94,5.02,25189.64,182,57,7
Longford,1325.33,0.84,22542.76,27,8,3
Louth,4596.28,2.95,24152.58,104,34,7
Mayo,4134.7,1.64,21848.41,336,143,14
Meath,7045.65,3.6,22627.77,123,61,5
Monaghan,1894.2,1.35,21516.29,41,24,0
Offaly,2360.1,1.53,20805.73,69,21,0
Roscommon,1937.74,0.62,20476.58,66,24,2
Sligo,2055.02,1.49,21207.14,191,55,8
Tipperary,5477.17,3.32,23472.72,156,74,7
Waterford,4051.33,3.88,23476.59,215,59,8
Westmeath,3199.79,2.2,24130.19,103,35,1
Wexford,4863.83,2.02,22527.29,192,82,10
Wicklow,5608.27,2.64,24701.71,200,73,2
